person_id,description
0177,"female, t-shirt, gray, shorts, black, flip-flops, backpack, pink, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray, backpack, gray"
0178,"male, white short-sleeved polo shirt, green shorts, light-colored sneakers, no visible accessories, no hat, no glasses, no backpack"
0179,"male, blue short-sleeved shirt, dark shorts, white socks, white sneakers, no visible backpack, no visible glasses, no visible hat"
0180,"female, tank top, dark green, shorts, dark green, yellow sneakers, blue backpack, no glasses, no hat"
0181,"female, white short-sleeved t-shirt, gray capri pants, barefoot, black backpack, dark hair in ponytail, no visible glasses or hat"
0182,"female, white t-shirt, dark blue capri pants, brown sandals, green backpack, no glasses, no hat"
0183,"male, white t-shirt, black shorts, gray slip-on shoes, black backpack, no glasses, no hat"
0184,"male, dark grey t-shirt, dark grey shorts, white socks, dark brown shoes, beard, no visible accessories, no glasses, no hat, no backpack"
0185,"female, dress, light blue, white belt, flat sandals, shoulder bag, no glasses, no hat"
0186,"female, red short-sleeved t-shirt, dark shorts, white sneakers, yellow backpack, no visible glasses, no visible hat"
0187,"male, short-sleeved shirt, blue, loose-fitting pants, light gray, sneakers, no visible accessories, no hat, no glasses, no backpack"
0188,"female, tank top, dark red with black pattern, shorts, dark blue denim, sandals, no visible backpack, no visible glasses, no visible hat"
0189,"male, yellow t-shirt, gray shorts, dark-colored sneakers, black backpack, dark-colored cap, no visible glasses"
0190,"female, gray t-shirt, black shorts, white sneakers, long dark hair, no visible accessories, no glasses, no backpack, no hat"
0191,"female, sleeveless top, white with red apple print, khaki pants, brown flat shoes, no visible accessories, long dark hair, no glasses, no hat, no backpack"
0192,"female, red short-sleeved shirt, black pants, black shoes, glasses, hair tied back"
0193,"female, white t-shirt, light beige shorts, barefoot, black handbag, no glasses, no hat"
0194,"female, white t-shirt, light blue denim shorts, dark brown flat sandals, light purple backpack, dark brown flat sandals, white t-shirt, light blue denim shorts, dark brown flat sandals, light purple backpack, dark brown flat sandals, white t-shirt, light blue denim shorts, dark brown flat sandals, light purple backpack, dark brown flat sandals, white t-shirt, light blue denim shorts, dark brown flat sandals, light purple backpack, dark brown flat sandals, white t-shirt, light blue denim shorts, dark brown flat sandals, light purple backpack, dark brown flat sandals, white t-shirt, light blue denim shorts, dark brown flat sandals, light purple backpack, dark brown flat sandals, white t-shirt, light blue denim shorts, dark"
0195,"female, pink cardigan, black tank top, white pants, white sneakers, glasses, dark hair in ponytail"
0196,"female, green short-sleeved top, green floral skirt, beige flat sandals, no visible accessories"
0197,"female, sleeveless top, light pink skirt, yellow shoes, black backpack, no visible glasses, no visible hat"
0198,"male, red t-shirt, black shorts, black sneakers, black backpack, no visible glasses, no visible hat"
0199,"female, pink button-up shirt, dark blue jeans, white flat shoes, brown shoulder bag, no visible glasses or hat"
0200,"female, black dress, black backpack, brown sandals, short dark hair, no visible glasses, no visible hat"
0201,"male, black t-shirt, black shorts, black sneakers, no visible backpack, no visible glasses, no visible hat"
0202,"male, green t-shirt, black shorts, red sneakers, red bandana, glasses"
0203,"male, white t-shirt, light blue jeans, white sneakers, black shoulder bag, no visible glasses, no visible hat"
0204,"male, white t-shirt, light gray patterned shorts, brown sandals, backpack with gray straps, no glasses, no hat"
0205,"female, white short-sleeved shirt, light brown shorts, barefoot, dark hair in ponytail, carrying a red bag over shoulder, no visible glasses or hat"
0206,"female, white short-sleeved t-shirt, blue long skirt, brownish-yellow flat shoes, olive green backpack, no visible glasses or hat"
0207,"female, sleeveless top, pink and white patterned, denim shorts, no visible footwear, no visible accessories"
0208,"female, t-shirt, light yellow, shorts, light yellow, barefoot, no visible accessories, no visible backpack, no visible glasses, no visible hat"
0209,"female, t-shirt, dark blue shorts, red flat shoes, shoulder bag, dark hair in ponytail, no glasses, no hat, no visible backpack"
0210,"male, striped t-shirt, blue shorts, sneakers, backpack, glasses"
0211,"male, white t-shirt, grey shorts, white socks, green and white sneakers, dark cap, no visible backpack, no visible glasses"
0212,"female, white short-sleeved top, black patterned capri pants, light gray sneakers, no visible accessories, no visible backpack, no visible glasses, no visible hat"
0213,"male, dark grey t-shirt, dark grey shorts, flip flops, glasses, cap"
0214,"female, short-sleeved printed t-shirt, light blue denim shorts, dark flip-flops, no visible backpack, no visible glasses, no visible hat"
0215,"male, short-sleeved t-shirt, white, khaki pants, white cap, white sneakers, green fanny pack, no visible glasses, no backpack"
0216,"male, short-sleeved shirt, light gray, light gray pants, dark shoes, no visible backpack, no visible glasses, no visible hat"
0217,"male, short-sleeved athletic shirt, white with light blue panels, black shorts, gray athletic sneakers, glasses, no visible backpack or hat"
0218,"female, white short-sleeved shirt, light brown skirt, white flat shoes, dark brown braided hair, light blue shopping bags, no visible backpack, no visible glasses, no visible hat"
0219,"male, black t-shirt, dark pants, white sneakers, red backpack, no visible glasses, no visible hat"
0220,"female, sleeveless dress, gray, sneakers, black shoulder bag"
0221,"female, short-sleeved t-shirt, pink, shorts, pink, sandals, no visible backpack, no visible glasses, no visible hat"
0222,"male, green short-sleeved t-shirt, black pants, black sneakers, black backpack, no visible glasses, no visible hat"
0223,"male, white sleeveless shirt with blue shoulder panels, white shorts, barefoot, no visible accessories, no backpack, no glasses, no hat"
0224,"male, green t-shirt, light gray shorts, white sneakers, dark backpack, no glasses, no hat"
0225,"female, light-colored short-sleeved dress, white, flat sandals, no visible accessories, dark hair, visible in all four panels, walking or standing, holding a yellow object in bottom right panel"
0226,"male, t-shirt, black, shorts, gray, sneakers, backpack, dark-colored, no glasses, no hat"
0227,"female, yellow, short-sleeved t-shirt, yellow, shorts, pink flip-flops, no visible accessories, no glasses, no hat, no backpack"
0228,"female, tank top, brown shorts, white sneakers, no visible backpack, no visible glasses, no visible hat"
0229,"female, patterned short-sleeve dress, gray and white, flip-flops, pink tote bag, no visible glasses or hat"
0230,"male, gray hoodie, dark pants, dark shoes, no visible accessories, no hat, no glasses"
0231,"male, t-shirt, gray, shorts, gray, sneakers, white socks, no visible backpack, no visible glasses, no visible hat"
0232,"male, purple t-shirt, black capri pants, gray slip-on shoes, black shoulder bag"
0233,"female, red sleeveless vest, gray short-sleeved shirt underneath, blue jeans, barefoot, brown handbag, no visible glasses, no visible hat, no visible backpack"
0234,"male, short-sleeved t-shirt, yellow, loose-fitting pants, dark grey, sneakers, no visible accessories, no hat, no glasses, no backpack"
0235,"male, short-sleeved polo shirt, dark blue, cargo pants, gray, sneakers, backpack, dark-colored, no visible glasses, no visible hat"
0236,"male, short-sleeved button-up shirt, light gray, dark pants, dark shoes, black cap"
0237,"female, white t-shirt, dark grey capri pants, white sneakers, pink backpack, face mask, dark hair in ponytail"
0238,"male, t-shirt, brown, shorts, dark blue, sneakers, backpack, glasses"
0239,"female, tank top, light gray, shorts, light gray, sandals, brown shoulder bag"
0240,"female, white t-shirt, dark blue denim shorts, white sneakers, backpack, no visible glasses or hat"
0241,"male, white t-shirt, grey shorts, dark-colored sneakers, backpack, no glasses, no hat"
0242,"male, long-sleeved shirt, light gray, shorts, khaki, flip-flops, backpack, dark brown"
0243,"male, white t-shirt with number 8, dark gray shorts, brown shoes, no visible accessories, no glasses, no hat, no backpack"
0244,"female, short-sleeved t-shirt, gray, capri pants, dark blue, barefoot, red hair tied back, no visible glasses, no visible backpack, no visible hat"
0245,"male, t-shirt, purple, shorts, gray, flip-flops, backpack, no glasses, no hat"
0246,"male, light gray t-shirt, khaki shorts, dark-colored shoes, no visible accessories, no glasses, no hat, no backpack"
0247,"male, white t-shirt, black shorts, dark-colored sneakers, black backpack, no visible glasses or hat"
0248,"male, short-sleeved checkered shirt, dark green and grey plaid, dark grey trousers, dark brown shoes, no visible accessories, no glasses, no hat, no backpack"
0249,"female, short-sleeved t-shirt, light green, loose-fitting pants, dark gray, flat shoes, pink handbag, black shoulder strap, glasses, dark hair tied back"
0250,"male, purple t-shirt, blue jeans, white sneakers, backpack, no glasses, no hat"
0251,"female, black sleeveless dress, black sandals, no visible backpack, no visible glasses, no visible hat"
0252,"male, yellow t-shirt, plaid shorts, white socks, sneakers, black backpack"
0253,"female, patterned jacket, dark pants, yellow shoes, red shoulder bag, dark hair, no visible glasses, no visible backpack, no visible hat"
0254,"female, green short-sleeved polo shirt, black leggings, barefoot, no visible accessories"
0255,"male, white t-shirt, dark pants, sneakers, no visible accessories, no hat, no glasses, no backpack"
0256,"male, green t-shirt, black shorts, gray sneakers, black shoulder bag"
0257,"male, short-sleeved t-shirt, teal, shorts, black, sneakers, white socks, backpack, black"
0258,"female, short-sleeved blouse, pink, shorts, white, sandals, shoulder bag, purple and white striped, no glasses, no hat, no backpack"
0259,"male, t-shirt, shorts, pink, light blue, sneakers, glasses, short hair"
0260,"male, short-sleeved shirt, light-colored striped shirt, dark trousers, dark shoes, shoulder bag, no visible glasses, no visible hat"
0261,"female, short-sleeved floral shirt, pink and white pattern, red short-sleeved shirt, light-colored pants, light-colored flat shoes, white plastic bag in left hand, no visible backpack, no visible glasses, no visible hat"
0262,"male, black t-shirt, light gray shorts, dark sandals, red hair, no visible accessories, no backpack, no glasses, no hat"
0263,"male, teal jacket, camouflage pants, dark brown shoes, no visible accessories, short dark hair, visible facial features, walking posture, no glasses, no backpack, no hat"
0264,"male, sleeveless shirt, gray, shorts, gray, sneakers, blue, sneakers, red, sneakers, water bottle, no backpack, no glasses, no hat"
0265,"male, red short-sleeved shirt, grey capri pants, blue sneakers, black backpack, glasses"
0266,"male, t-shirt, teal, shorts, dark, sandals, glasses, shoulder bag"
0267,"male, short-sleeved button-up shirt, light purple, shorts, light green, flip-flops, no visible backpack, no visible glasses, no visible hat"
0268,"female, bright green t-shirt, black shorts, white slip-on shoes, backpack, long dark hair, no visible glasses, no visible hat"
0269,"female, floral printed short-sleeved shirt, brown pants, dark-colored flat shoes, dark hair tied back, no visible backpack, no visible glasses, no visible hat"
0270,"female, sleeveless top, brown skirt, brown sandals, white plastic bag with red and blue logo, green plastic bottle, no glasses, no hat, no backpack"
0271,"boy, short-sleeved shirt, light blue, shorts, light blue, sandals, red cap"
0272,"male, green short-sleeved t-shirt, brownish-gray loose-fitting pants, dark-colored slip-on shoes, no visible accessories, no glasses, no hat, no backpack"
0273,"male, green t-shirt, dark gray shorts, black sneakers, gray shoulder bag"
0274,"female, gray short-sleeved top, dark green pants, light brown flat shoes, beige handbag"
0275,"male, gray jacket, dark pants, dark shoes, black cap, no visible backpack, no visible glasses"
0276,"male, short-sleeved button-up shirt, light pink, dark trousers, dark shoes, no visible accessories, no hat, no glasses, no backpack"
0277,"female, tank top, purple, shorts, white patterned, barefoot, no visible accessories"
0278,"male, blue t-shirt, dark gray shorts, black sneakers, black backpack, no glasses, no hat"
0279,"female, light blue hoodie, black shorts, brown sandals, glasses, carrying a white plastic bag"
